2017/01/23                                     Regional Medical Associates - Hamilton                                       PAGE   1

  Batctrl    Batctrl Amt
   Batch         Act
    Nbr

  3365N096     11,590.96
  3365N097     12,799.12
  3368E328      6,581.47
  3368E329      3,814.53
  33704537      5,177.65
  33704538      1,641.60
  3371M166      8,433.74
  3371M167      4,421.48
  33728517     24,013.55
  33728518     31,329.88
  33728519      9,805.10
  33728520     21,850.86
  33728521      5,905.75
  33728522     16,699.75
  33734311     16,456.19
  33734312     11,696.40
  3373L118         59.40
  3373L119     18,645.58
  3373L120      6,935.22
  33800462           .00
  33800704      1,531.97
  33800705         29.98
  3386E359     10,121.01
  3386E360     20,515.11
  33871574     21,291.98
  33871575     14,817.08
  33884389      7,288.02
  33884390      2,928.48
  33910129        766.55
  33942050        904.05
  33999089    -10,650.71
  33999090     -3,880.33
  33999091     -4,465.15
  33999092     -2,240.96
  3399E298     32,088.42
  3399E299        328.05
  3399E300     19,916.43
  3399E301      5,135.62
  33E68796        808.58
  33E68797     11,084.15
  33E68798     20,829.01
  33F08618     10,417.80
  33F08619     14,200.19
  33F08620     43,319.11
  33F94355        294.00
  33F94356        114.70
  33G19054      5,978.98
  33G19055      5,056.85
  33G23497      4,567.94
  33G23498      5,363.02
  33G23499      5,028.14
  33G23500      9,064.23
  33H20938         55.75
  33H77088        857.30
  33H82658      2,283.70
  33H82659        547.40
  33J81469     10,322.57
  33J81470     11,897.33
  33K41992      4,516.61
  33K41993         26.55
  33K41994      9,460.80
  33K41995         53.10
  33L63763      5,911.38
  33L63764     19,872.63
  33L63765      3,732.66
  33M18627     17,776.30
  33M18628      1,894.50
  33M18629     20,421.82
  33M70838        376.40
  33M70839     16,845.70
  33P78376     21,163.23
  33P78377     10,778.60
  33R67475      4,572.90
  33R67476      2,871.93
  33R94092      1,639.25
  33V13487      5,814.00
  33V13488      4,063.05
  33V13489      6,449.30
  33V13490      5,843.05
  33V13491      2,279.60
  33V24632      7,637.45
  33V24633     15,043.27
  33V24634      6,173.28
  33V24635      3,005.78
  33V31277     39,105.68
  33V31278     12,976.21
  33V37602      2,983.60
  33V37603      4,290.71
  33V54577        676.59
  33V54578      2,847.60
  33V59419      6,466.15
  33V59420     10,891.70
  33V59421     17,915.11
  33V59422      9,417.95
  33V59423      8,306.25
  33V59424      1,813.15
  33W08531         24.05
  33W08532      4,094.29
  33W37545      6,892.51
  33W37546        857.17
  33W38741         81.10
  33W38742      6,487.25
  33W38743     14,004.31
  33W38744         49.60
  33W90045        -48.70
  33X30481     17,920.62
  33X30482      5,054.39
  33X61441        718.65
  33Y21490      5,277.70
  33Y21491        916.60
  33Y37622      7,488.25
  33Y37623      7,579.30
  33Y39441      4,039.29
  33Y39442      9,839.50
  33Y39443      6,741.52
  33Y39444      2,148.15
  33Y42750      8,809.60
  33Y42751      3,231.65
  33Y42752      3,499.55
  33Y42753      5,433.00
  3400M065      1,438.05
  3401M198      1,723.58
  3401M199        532.10
  3401M200      1,539.30
  3402F434        706.95
  3402F435      1,503.75
  34030204        529.05
  3403A354      3,484.65
  3403A355      3,203.70
  3404F078      7,931.19
  34051191      3,110.60
  34051192      1,502.15
  3405C300     12,592.80
  3405C301      5,088.00
  3405T005         80.40
  3409B357      7,642.64
  3409B358      5,356.80
  3409B359      8,434.52
  3409B360        440.60
  3410C250      5,269.19
  3410C251      9,640.80
  3410C252      1,561.85
  3410H269     28,664.04
  3410H270     19,553.77
  34115719      8,255.71
  3412P020        534.73
  3413B348        638.40
  34158308      2,148.95
  3415A357        119.78
  3416K154      1,271.60
  34181454     10,137.63
  34181455      4,694.17
  34181456      1,909.05
  34184299      4,587.20
  34184300      1,835.40
  3418H408      9,576.57
  3418H409      9,216.90
  3418H410      6,232.34
  3418H411      8,330.10
  3418H412      8,354.87
  3418H413      9,350.37
  3418H414      2,774.07
  3420M047        257.10
  3420R002      1,837.80
  3420T005      5,702.52
  3420T006      2,508.38
  3421K095     20,202.45
  3421K096      9,370.90
  3421L154      6,007.40
  3421L155      3,144.70
  3423A291        539.60
  3423F298        787.70
  3424C313      3,845.95
  3424M055        986.60
  3425L188      5,299.70
  3425L189      4,900.30
  3426T007        157.00
  34273299     13,986.34
  3427M029      8,976.92
  3427M030         80.60
  3429M049     67,845.87
  3430N040     10,343.95
  3431N102      8,319.13
  3431N103      5,775.44
  3431N104      1,000.93
  3433M041      1,553.75
  3433R019        874.22
  3433R020      4,752.77
  3433R021     10,558.83
  3433R022      4,840.54
  34346126     10,611.93
  34346127        146.45
  34346128        565.10
  34358864        115.90
  3435B188     15,744.94
  3435B189     20,978.50
  3435B190      1,598.05
  3435E152     13,592.87
  3436A270         80.60
  34392383      1,354.55
  34392384      3,963.95
  3439A177     11,088.25
  3440A138     10,470.87
  3440A139      7,632.46
  3440N158        918.13
  34410446        157.00
  34410447        666.05
  34416655      2,538.55
  34416656      3,378.10
  34416657      1,638.10
  3441T008      2,512.35
  34438116     23,907.98
  34438117     12,473.19
  3445R025      6,774.15
  3445R026        985.80
  3446C710      3,823.47
  3446C711      5,217.12
  3446N049        447.31
  34471692      2,321.90
  34471693      1,490.80
  34471694        611.20
  34471695        997.45
  3449H524         61.25
  3449H525         79.85
  3449H526        181.34
  3449H528      4,373.51
  3449H529        173.72
  3449H530        119.78
  3449H531        538.92
  3449H532      1,197.80
  3449H533      1,693.64
  3449H534      9,869.09
  3450H105      3,268.35
  3450H106     10,497.05
  34520096     12,656.90
  34520097      6,969.40
  3453K164      8,748.85
  3453K165        697.35
  3454T003      7,606.65
  3454T004      7,426.90
  3454T005        314.00
  34552531      9,727.00
  34552532     12,641.71
  34552533      2,289.02
  3455C393      2,256.00
  3455C394      1,622.40
  3456T012        151.70
  3456T013      7,972.59
  3457L053         93.15
  3457L054      8,812.46
  3457L055        262.59
  3457N039        264.10
  34588424      4,620.90
  34588425      8,827.82
  3458N069      2,875.26
  3461C298      7,754.08
  3461C299      4,062.42
  3461T003      2,811.35
  3462J062      8,044.18
  3462J063      1,535.75
  3463J109      1,701.11
  3463L124      1,612.12
  3463P031      5,599.30
  3464C238         62.00
  3464C239     10,036.15
  3464C240      3,631.23
  3465P081        365.95
  3465P082        579.75
  34709774        174.90
  34709775      2,936.51
  3470F098     16,085.60
  3470F099     16,872.30
  3470T002      1,822.70
  3470T003      6,316.30
  3472N002      6,673.04
  3474R017     10,382.41
  3474R018      7,627.68
  3475A455      4,251.75
  3475A456        234.85
  34761388     12,592.80
  34761389      5,596.80
  3477T002     12,734.46
  3477T003      2,639.25
  3477T004      4,744.30
  34781890        282.75
  34781891      1,071.55
  3478C383      6,309.97
  3478C384      5,305.94
  3478C385      3,270.67
  3478C386      6,096.92
  3479P038      9,886.40
  34800536        292.90
  3482L070     12,921.95
  3482L071      7,200.90
  3482L072      9,408.55
  3482L073      8,830.76
  3482L074      6,680.09
  3483E223      7,961.90
  3484C166      6,420.75
  3484C167      6,683.75
  3484C168        416.20
  3486H276      5,020.96
  3486H277      4,204.83
  3490P033        819.10
  3490P034      9,343.95
  3491J238        976.65
  3491J239      2,483.05
  3492C130      8,442.25
  3494J207     10,960.10
  3494J208      8,748.03
  3495P010      2,492.51
  34965293     12,592.80
  34965294     12,592.80
  34965295     12,592.80
  34965296      5,469.60
  3496T001     16,578.86
  3496T002     19,903.23
  3496T003      3,444.55
  3497T001      1,292.60
  34989354      7,170.30
  3498P010        362.05
  34999131     -5,267.18
  34999132     -5,092.77
  34999133     -7,676.11
  34999134     -5,188.99
  34999135     -5,374.31
  34999136     -6,424.30
  34999137       -953.04
  3499K085        281.95
  3499K086     11,858.00
  3499P009      7,484.60
  3499P010      9,644.35
  34D09471      1,262.25
  34D09472      1,262.25
  34D09473      1,262.25
  34D09474      1,262.25
  34D09475      1,224.00
  34D34849     16,214.60
  34D34850     16,632.73
  34D34851      5,502.17
  34D34852      6,892.20
  34D34853      8,461.13
  34D34854      8,657.59
  34D69966     12,592.80
  34D69967     12,592.80
  34D69968     12,592.80
  34D69969      5,342.40
  34E88062        319.40
  34F80325     19,666.59
  34F82721     17,507.45
  34G05523      1,107.70
  34G14769        828.78
  34G14770      1,554.75
  34G27838      5,338.45
  34G27839      5,545.48
  34G27840      6,676.80
  34G27841         74.55
  34G27842      4,624.08
  34G27843      1,869.48
  34G31324        206.20
  34G31325     21,559.93
  34G70565     14,199.19
  34G70566     10,433.61
  34H19702      2,206.62
  34H43746      5,372.65
  34H43747      1,518.05
  34H43748      2,851.25
  34H87504      5,181.00
  34J29727      8,153.10
  34J29728        253.40
  34J29729      1,865.54
  34J29730      4,023.30
  34J29731      1,903.00
  34J36888      4,477.25
  34J36889      2,068.10
  34J58713      2,915.75
  34J58714      1,141.40
  34J84439     24,595.31
  34J84440     11,367.91
  34J86729     18,208.96
  34J86730     12,384.85
  34J86731      3,369.85
  34J89836     12,592.80
  34J89837     12,592.80
  34J89838     12,592.80
  34J89839     12,592.80
  34J89840     10,048.80
  34K07468         40.45
  34K07469     11,428.18
  34K16741      5,486.05
  34K16742      4,773.51
  34K17466      3,248.71
  34K20370      4,186.10
  34K20371      6,164.43
  34K20372      2,941.49
  34K30831        124.00
  34K30832     11,028.35
  34K30833      1,520.10
  34K30834      1,884.80
  34K69591     11,751.71
  34K69592     11,868.10
  34K69593     11,282.35
  34K69594      3,978.01
  34K70804        875.68
  34K70805        979.25
  34K87307      2,707.45
  34K96468      1,866.00
  34K96469        487.85
  34L62644        157.00
  34L62645        157.00
  34L62646      1,617.27
  34L62647      1,493.20
  34L62648      1,112.57
  34L62649         61.25
  34L76551      2,339.10
  34L90963      4,189.96
  34L90964      6,245.36
  34M23336        282.10
  34M43298     20,264.09
  34M43299      5,126.50
  34M71506      1,685.85
  34M71507      2,766.70
  34M71508      1,569.65
  34M71509     16,769.82
  34M98550        268.40
  34M98551      2,863.76
  34N72617         71.10
  34N72618     10,259.89
  34N72619      7,699.00
  34N97804      6,684.85
  34N97805      7,897.15
  34P18647      9,735.57
  34P18648      6,751.75
  34P19163        608.45
  34P19164      1,333.45
  34P19165      1,000.45
  34P19166     23,018.52
  34P26542        943.20
  34P26543      4,028.00
  34P27679      6,210.30
  34P27680        555.90
  34P27681      4,012.14
  34P36397        146.45
  34P59348      5,473.78
  34P73271      1,416.50
  34R29011        314.00
  34R42629      1,373.60
  34R79746      8,624.76
  34R79747      7,776.87
  34R79748      4,858.95
  34R79749        475.28
  34R79750      8,074.89
  34R79751      8,697.92
  34R79752      4,438.29
  34R95783      5,265.69
  34R95784      1,456.88
  34R95785      7,057.01
  34R95786      6,879.38
  34R95787      2,018.06
  34T52230        190.70
  34T52231     12,699.53
  34T52232     22,135.99
  34T52233         94.05
  34T52234        741.20
  34T99345        449.30
  34V02480     16,449.15
  34V02481     10,572.49
  34V02482      9,242.66
  34V02483      7,427.12
  34V02484     15,797.65
  34V06565        237.90
  34V06566      3,780.70
  34V28534         13.30
  34V28535      3,841.43
  34V29285     23,178.61
  34V29286      1,327.89
  34V85282      8,919.50
  34V85283     15,679.40
  34W05470      3,880.65
  34W29498        159.70
  34W29499      4,018.80
  34W29500      3,424.90
  34W29501      1,522.30
  34W29502     10,771.70
  34W72169      2,930.51
  34W90062     -3,137.07
  34W95238     24,656.15
  34W95239      3,170.25
  34X28320      3,605.85
  34X28321        255.25
  34X53288      9,256.50
  34X53289      5,570.60
  34X53290      2,900.50
  34X59234     40,830.67
  34X59235      9,518.88
  34X69629      2,836.40
  34X69630        685.55
  34X70246      7,460.33
  34X70247      3,047.98
  34Y06358      5,942.40
  34Y06359      4,448.22
  34Y06360      1,064.50
